[i] Train : 19922
[i] Valid : 2214
[i] prediction_op : Tensor("concat:0", shape=(?, 7, 7, 2, 25), dtype=float32)
[i] max_iteration : 249000
[i] decay_iteration : [124500 186750]
[i] iter : 5750, loss : 16.4430, xy_loss : 0.9774, wh_loss : 0.2145, obj_loss : 0.2666, noobj_loss : 5.5275, class_loss : 0.8694, l2_reg_loss : 8.5876, train_time : 38sec
[i] iter : 5800, loss : 15.9982, xy_loss : 0.8096, wh_loss : 0.1528, obj_loss : 0.2277, noobj_loss : 5.5380, class_loss : 0.6917, l2_reg_loss : 8.5784, train_time : 38sec
[i] iter : 5850, loss : 16.2829, xy_loss : 0.9403, wh_loss : 0.1985, obj_loss : 0.2618, noobj_loss : 5.4957, class_loss : 0.8177, l2_reg_loss : 8.5690, train_time : 38sec
[i] iter : 5900, loss : 16.0121, xy_loss : 0.8567, wh_loss : 0.1910, obj_loss : 0.2442, noobj_loss : 5.4734, class_loss : 0.6872, l2_reg_loss : 8.5596, train_time : 38sec
[i] iter : 5950, loss : 15.9976, xy_loss : 0.8371, wh_loss : 0.1927, obj_loss : 0.2595, noobj_loss : 5.4571, class_loss : 0.7009, l2_reg_loss : 8.5502, train_time : 38sec
[i] iter : 6000, loss : 16.1895, xy_loss : 0.9121, wh_loss : 0.2244, obj_loss : 0.2885, noobj_loss : 5.3925, class_loss : 0.8312, l2_reg_loss : 8.5408, train_time : 38sec
[i] iter : 6050, loss : 15.9961, xy_loss : 0.9155, wh_loss : 0.1909, obj_loss : 0.2637, noobj_loss : 5.3717, class_loss : 0.7228, l2_reg_loss : 8.5315, train_time : 37sec
[i] iter : 6100, loss : 15.7640, xy_loss : 0.8426, wh_loss : 0.1721, obj_loss : 0.2404, noobj_loss : 5.3429, class_loss : 0.6438, l2_reg_loss : 8.5222, train_time : 37sec
[i] iter : 6150, loss : 16.1326, xy_loss : 0.9993, wh_loss : 0.1920, obj_loss : 0.2927, noobj_loss : 5.2942, class_loss : 0.8415, l2_reg_loss : 8.5129, train_time : 38sec
[i] iter : 6200, loss : 15.9189, xy_loss : 0.9076, wh_loss : 0.1848, obj_loss : 0.2802, noobj_loss : 5.2759, class_loss : 0.7666, l2_reg_loss : 8.5037, train_time : 38sec
[i] iter : 6250, loss : 15.6082, xy_loss : 0.8174, wh_loss : 0.1641, obj_loss : 0.2383, noobj_loss : 5.2543, class_loss : 0.6397, l2_reg_loss : 8.4944, train_time : 37sec
[i] iter : 6300, loss : 15.7646, xy_loss : 0.9011, wh_loss : 0.1728, obj_loss : 0.2654, noobj_loss : 5.2287, class_loss : 0.7116, l2_reg_loss : 8.4850, train_time : 38sec
[i] iter : 6350, loss : 15.5623, xy_loss : 0.8196, wh_loss : 0.1699, obj_loss : 0.2429, noobj_loss : 5.1935, class_loss : 0.6606, l2_reg_loss : 8.4758, train_time : 39sec
[i] iter : 6400, loss : 15.6223, xy_loss : 0.8336, wh_loss : 0.1821, obj_loss : 0.2722, noobj_loss : 5.1315, class_loss : 0.7365, l2_reg_loss : 8.4665, train_time : 37sec
[i] iter : 6450, loss : 15.6253, xy_loss : 0.9026, wh_loss : 0.2090, obj_loss : 0.2662, noobj_loss : 5.0537, class_loss : 0.7365, l2_reg_loss : 8.4572, train_time : 38sec
[i] iter : 6500, loss : 15.4717, xy_loss : 0.8200, wh_loss : 0.1860, obj_loss : 0.2553, noobj_loss : 5.0748, class_loss : 0.6877, l2_reg_loss : 8.4480, train_time : 38sec
[i] iter : 6550, loss : 15.5072, xy_loss : 0.8648, wh_loss : 0.1907, obj_loss : 0.2805, noobj_loss : 5.0267, class_loss : 0.7056, l2_reg_loss : 8.4388, train_time : 38sec
